Date,A,B,C,D,E,F,G,
2022/2/25,"-1,490","1,206",-36,-320,"1,080,505","133,249","88,690",
2022/2/24,"-1,299","1,093","1,088",882,"1,082,190","132,043","88,726",
2022/2/23,-334,582,337,585,"1,083,593","130,950","87,638",
2022/2/22,-257,"1,062",297,"1,102","1,083,903","130,368","87,301",
2022/2/21,245,442,235,922,"1,084,106","129,306","87,004",
2022/2/18,"2,044",243,41,"2,328","1,083,861","128,864","86,769",
2022/2/17,-382,548,283,449,"1,081,817","128,621","86,728",
2022/2/16,"1,152",408,-251,"1,309","1,082,198","128,073","86,445",
2022/2/15,-394,384,0,-10,"1,081,046","127,665","86,696",
2022/2/14,-515,671,-250,-94,"1,081,513","127,281","86,696",
2022/2/11,-867,207,-311,-971,"1,082,162","126,610","86,946",
2022/2/10,"-1,281",228,-5,"-1,058","1,083,029","126,403","87,257",
2022/2/9,"1,096","1,582",396,"3,074","1,084,313","126,175","87,262",
2022/2/8,"1,620",326,219,"2,165","1,083,509","124,593","86,866",
2022/2/7,989,300,255,"1,544","1,082,137","124,267","86,647",
2022/1/26,801,500,178,"1,479","1,081,319","123,967","86,392",
2022/1/25,"-1,299",972,198,-129,"1,080,715","123,467","86,214",
2022/1/24,734,774,256,"1,764","1,082,039","122,495","86,016",
2022/1/21,187,"1,028",539,"1,754","1,081,397","121,721","85,760",
2022/1/20,"-3,341",590,106,"-2,645","1,081,045","120,693","85,221",
2022/1/19,"4,095",267,-791,"3,571","1,084,341","120,103","85,115",
2022/1/18,513,125,476,"1,114","1,080,184","119,836","85,906",
2022/1/17,196,209,-45,360,"1,079,608","119,711","85,429",
2022/1/14,"2,399",982,36,"3,417","1,079,262","119,502","85,475",
2022/1/13,904,481,-6,"1,379","1,076,789","118,521","85,439",
2022/1/12,97,417,18,532,"1,075,921","118,040","85,444",
2022/1/11,-203,288,-252,-167,"1,075,838","117,623","85,427",
2022/1/10,-123,469,-388,-42,"1,075,891","117,335","85,679",
2022/1/7,"2,340",535,97,"2,972","1,076,286","116,866","86,066",
2022/1/6,"2,772",422,-91,"3,103","1,073,946","116,331","85,969",
2022/1/5,"2,036",683,-60,"2,659","1,071,174","115,909","86,060",
2022/1/4,"2,482",57,297,"2,836","1,069,052","115,226","86,120",
2022/1/3,711,442,666,"1,819","1,066,469","115,169","85,823",
